Timestamp;AppId;AppCallChain;AppErrorId;AppErrorMessage;AppErrorDetails;AppUserId;DeviceUser;DeviceId;DeviceIp
"2026-01-08 13:36:49";41;"Main > UC_UserIdentify > ExecuteAsync";"No_AUTH_01";"Une erreur métier s'est produite lors de l'exécution :";"Ouverture refusée : utilisateur non identifié sur ce poste.";0;"Administrateur";"PM-DESKTOP";"172.18.56.80"
"2026-01-30 08:08:37";41;"Main > UC_UserIdentify > ExecuteAsync";"No_AUTH_01";"Une erreur métier s'est produite lors de l'exécution :";"Ouverture refusée, utilisateur 'Administrateur' non identifié sur ce poste.";0;"Administrateur";"PM-DESKTOP";"172.18.56.80"
"2026-02-16 19:37:14";"41";"Program > Main > UC_TemporImport > ExecuteAsync > UC_TemporImport_ProcessFile > ExecuteAsync > SR_TemporImportFileImporter > ExecuteAsync";"IN_ER_06";"Une erreur d'infrastructure s'est produite lors de l'exécution :";"Une erreur est survenue lors de l'enregistrement des données.";"176";"Administrateur";"PM-DESKTOP";"172.18.56.80"
"2026-02-16 19:37:17";"41";"Program > Main > UC_TemporImport > ExecuteAsync > UC_TemporImport_ProcessFile > ExecuteAsync > SR_TemporImportFileImporter > ExecuteAsync";"IN_ER_06";"Une erreur d'infrastructure s'est produite lors de l'exécution :";"Une erreur est survenue lors de l'enregistrement des données.";"176";"Administrateur";"PM-DESKTOP";"172.18.56.80"
"2026-02-17 08:30:23";"41";"Program > Main > UC_TemporImport > ExecuteAsync > UC_TemporImport_ProcessFile > ExecuteAsync > SR_TemporImportFileImporter > ExecuteAsync";"IN_ER_06";"Une erreur d'infrastructure s'est produite lors de l'exécution :";"Une erreur est survenue lors de l'enregistrement des données.";"176";"Administrateur";"PM-DESKTOP";"172.18.56.80"
"2026-02-17 08:30:23";"41";"Program > Main > UC_TemporImport > ExecuteAsync > UC_TemporImport_ProcessFile > ExecuteAsync > SR_TemporImportFileImporter > ExecuteAsync";"IN_ER_06";"Une erreur d'infrastructure s'est produite lors de l'exécution :";"Une erreur est survenue lors de l'enregistrement des données.";"176";"Administrateur";"PM-DESKTOP";"172.18.56.80"
"2026-02-17 08:30:26";"41";"Program > Main > UC_TemporImport > ExecuteAsync > UC_TemporImport_ProcessFile > ExecuteAsync > SR_TemporImportFileImporter > ExecuteAsync";"IN_ER_06";"Une erreur d'infrastructure s'est produite lors de l'exécution :";"Une erreur est survenue lors de l'enregistrement des données.";"176";"Administrateur";"PM-DESKTOP";"172.18.56.80"
"2026-02-17 08:30:26";"41";"Program > Main > UC_TemporImport > ExecuteAsync > UC_TemporImport_ProcessFile > ExecuteAsync > SR_TemporImportFileImporter > ExecuteAsync";"IN_ER_06";"Une erreur d'infrastructure s'est produite lors de l'exécution :";"Une erreur est survenue lors de l'enregistrement des données.";"176";"Administrateur";"PM-DESKTOP";"172.18.56.80"
"2026-02-17 08:30:27";"41";"Program > Main > UC_TemporImport > ExecuteAsync > UC_TemporImport_ProcessFile > ExecuteAsync > SR_TemporImportFileImporter > ExecuteAsync";"IN_ER_06";"Une erreur d'infrastructure s'est produite lors de l'exécution :";"Une erreur est survenue lors de l'enregistrement des données.";"176";"Administrateur";"PM-DESKTOP";"172.18.56.80"
"2026-02-17 08:30:27";"41";"Program > Main > UC_TemporImport > ExecuteAsync > UC_TemporImport_ProcessFile > ExecuteAsync > SR_TemporImportFileImporter > ExecuteAsync";"IN_ER_06";"Une erreur d'infrastructure s'est produite lors de l'exécution :";"Une erreur est survenue lors de l'enregistrement des données.";"176";"Administrateur";"PM-DESKTOP";"172.18.56.80"
